workerid,condition,age,news,intro,state,gender,prefer,citizen,english,education,residence,political_aff,age_bin,Submission id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,U.s. political affiliation,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,batch
4408,event-spr,37,Weekly,NA,TX,Female,I'd rather not say,Yes,Yes,4-year college degree,Yes,Independent,35-44,672e6dfd81a6413297ce04d1,APPROVED,Not Applicable,2024-11-08T20:01:13Z,2024-11-08T20:03:23Z,2024-11-08T23:31:04Z,2024-11-08T20:03:35Z,131,COHS0MZY,574,English,Independent,37,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,post
4094,maze-event,NA,Daily,NA,NA,NA,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,NA,672e64ac3f43c14452019735,APPROVED,Not Applicable,2024-11-08T19:21:22Z,2024-11-08T19:23:10Z,2024-11-08T23:34:52Z,2024-11-08T19:23:13Z,109,COHS0MZY,3214,English,Democrat,46,Male,White,United States,United States,United States,English,No,Full-Time,post
4512,cloze-event,46,Daily,NA,AR,Male,Kamala Harris,Yes,Yes,High school graduate,Yes,Democrat,45-54,672e7640ee7b9492c867362d,APPROVED,Not Applicable,2024-11-08T20:36:22Z,2024-11-08T20:38:25Z,2024-11-08T23:40:32Z,2024-11-08T20:39:04Z,123,COHS0MZY,451,English,Independent,46,Male,White,United States,United States,United States,English,No,Full-Time,post
4223,maze-event,44,Weekly,NA,CA,Female,I don't care,Yes,Yes,4-year college degree,Yes,Independent,35-44,672e67bd24a8f1fef88d8743,APPROVED,Not Applicable,2024-11-08T19:34:26Z,2024-11-08T19:36:43Z,2024-11-08T23:30:51Z,2024-11-08T19:36:55Z,137,COHS0MZY,6858,English,Independent,44,Female,Mixed,Canada,United States,United States,English,No,DATA_EXPIRED,post
4207,cloze-event,31,Daily,NA,CA,Female,Donald Trump,Yes,Yes,Some college,Yes,Republican,25-34,672e6740c117dc3bb3a92f2c,APPROVED,Not Applicable,2024-11-08T19:32:30Z,2024-11-08T19:34:03Z,2024-11-08T23:33:02Z,2024-11-08T19:34:09Z,94,COHS0MZY,190,English,Republican,31,Female,Mixed,United States,United States,United States,English,No,Part-Time,post
3461,spr-event,32,Daily,NA,PA,Female,Kamala Harris,Yes,Yes,Some college,Yes,Democrat,25-34,672e5825f664dabe77e4628e,APPROVED,Not Applicable,2024-11-08T18:27:55Z,2024-11-08T18:31:59Z,2024-11-08T23:35:25Z,2024-11-08T18:32:06Z,244,COHS0MZY,5585,English,Democrat,32,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",post
4015,event-cloze,31,Weekly,NA,AZ,Male,Donald Trump,Yes,No,Some college,Yes,Independent,25-34,672e62f8f464ee09d04ac2a1,APPROVED,Not Applicable,2024-11-08T19:14:04Z,2024-11-08T19:15:04Z,2024-11-08T23:31:28Z,2024-11-08T19:16:55Z,61,COHS0MZY,606,"Spanish, English",Independent,31,Male,White,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED,post
4306,spr-event,60,Daily,NA,NC,Female,Kamala Harris,Yes,Yes,High school graduate,Yes,Democrat,55-64,672e6a5b895310b0c31f2f9d,APPROVED,Not Applicable,2024-11-08T19:45:45Z,2024-11-08T19:48:03Z,2024-11-08T23:39:47Z,2024-11-08T19:48:04Z,139,COHS0MZY,898,English,Democrat,60,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",post
3594,event-cloze,37,Daily,NA,WA,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,35-44,672e5abb8e7ccdcc352fae53,APPROVED,Not Applicable,2024-11-08T18:38:58Z,2024-11-08T18:41:55Z,2024-11-08T23:35:50Z,2024-11-08T18:41:56Z,178,COHS0MZY,921,English,Democrat,37,Female,White,Germany,United States,United States,English,DATA_EXPIRED,Full-Time,post
3692,cloze-event,39,Daily,NA,TX,Female,Donald Trump,Yes,Yes,4-year college degree,Yes,Republican,35-44,672e5ca838e13c2ac208ab03,APPROVED,Not Applicable,2024-11-08T18:47:11Z,2024-11-08T18:49:16Z,2024-11-08T23:33:38Z,2024-11-08T18:49:56Z,125,COHS0MZY,872,"English, Spanish",Republican,39,Female,Other,United States,United States,United States,Spanish,Yes,Unemployed (and job seeking),post
4581,spr-event,65,Daily,NA,KS,Female,Donald Trump,Yes,Yes,High school graduate,Yes,Republican,≥65,672e82b2700d6646e3af47f4,APPROVED,Not Applicable,2024-11-08T21:29:30Z,2024-11-08T21:34:48Z,2024-11-08T23:37:16Z,2024-11-08T21:37:18Z,319,COHS0MZY,1380,English,Republican,65,Female,White,United States,United States,United States,English,No,Full-Time,post
4403,event-cloze,37,Daily,NA,MD,Female,Kamala Harris,Yes,Yes,Professional degree,Yes,Independent,35-44,672e6dc0cdeaf5a51422fb33,APPROVED,Not Applicable,2024-11-08T20:00:21Z,2024-11-08T20:02:30Z,2024-11-08T23:31:00Z,2024-11-08T20:02:43Z,129,COHS0MZY,1028,English,Independent,37,Female,Black,United States,United States,United States,English,No,Full-Time,post
3875,event-cloze,37,Daily,NA,PA,Male,I don't care,Yes,Yes,Professional degree,Yes,Democrat,35-44,672e6037b49710f66887c657,APPROVED,Not Applicable,2024-11-08T19:02:21Z,2024-11-08T19:04:19Z,2024-11-08T23:35:41Z,2024-11-08T19:04:22Z,119,COHS0MZY,4824,English,Democrat,37,Male,Mixed,United States,United States,United States,English,No,Full-Time,post
4840,spr-event,71,Daily,NA,IL,Female,Donald Trump,Yes,Yes,2-year college degree,Yes,Republican,≥65,672f6126ad50589587d5eff7,APPROVED,Not Applicable,2024-11-09T13:18:39Z,2024-11-09T13:21:23Z,2024-11-09T14:02:32Z,2024-11-09T13:21:44Z,164,COHS0MZY,2808,English,Republican,71,Female,White,United States,United States,United States,English,No,Part-Time,post
4631,spr-event,56,Daily,NA,TX,Male,Donald Trump,Yes,Yes,High school graduate,Yes,Independent,55-64,672e8c7d472c647a228f4e5f,APPROVED,Not Applicable,2024-11-08T22:11:14Z,2024-11-08T22:13:49Z,2024-11-08T23:32:10Z,2024-11-08T22:19:46Z,155,COHS0MZY,6553,"English, Spanish",Independent,36,Male,White,United States,United States,United States,English,No,Full-Time,post
4108,spr-event,24,Daily,NA,NJ,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Independent,18-24,672e64f6faa92ceec04ac2b2,APPROVED,Not Applicable,2024-11-08T19:22:35Z,2024-11-08T19:23:51Z,2024-11-08T23:36:44Z,2024-11-08T19:25:21Z,77,COHS0MZY,2252,English,Independent,24,Female,Asian,United States,United States,United States,English,No,Full-Time,post
4029,maze-event,27,Daily,NA,PA,Female,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,25-34,672e635ea0101f1ff4928917,APPROVED,Not Applicable,2024-11-08T19:15:51Z,2024-11-08T19:18:30Z,2024-11-08T23:32:58Z,2024-11-08T19:18:32Z,160,COHS0MZY,302,English,Republican,27,Female,White,United States,United States,United States,English,No,Part-Time,post
4266,event-spr,33,Daily,NA,NA,Female,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,25-34,672e683e4e950299d1d0c2dd,APPROVED,Not Applicable,2024-11-08T19:40:09Z,2024-11-08T19:42:03Z,2024-11-08T23:37:36Z,2024-11-08T19:42:03Z,114,COHS0MZY,53,English,Independent,33,Female,White,United States,United States,United States,English,No,Full-Time,post
3463,spr-event,30,Daily,NA,CA,Male,I don't care,Yes,Yes,Some college,Yes,Independent,25-34,672e57a50e5b8042c16f6d19,APPROVED,Not Applicable,2024-11-08T18:28:29Z,2024-11-08T18:30:27Z,2024-11-08T23:37:24Z,2024-11-08T18:30:28Z,119,COHS0MZY,3770,"English, Spanish",Independent,30,Female,White,United States,United States,United States,English,No,Part-Time,post
3556,event-spr,48,Never,NA,AZ,Female,Kamala Harris,Yes,Yes,2-year college degree,Yes,Independent,45-54,672e5a88e6ae4110aa943d11,APPROVED,Not Applicable,2024-11-08T18:38:07Z,2024-11-08T18:40:19Z,2024-11-08T23:40:37Z,2024-11-08T18:40:21Z,133,COHS0MZY,37,English,Independent,48,Female,White,United States,United States,United States,English,DATA_EXPIRED,Other,post
3986,event-spr,30,Daily,NA,TX,Female,Kamala Harris,Yes,Yes,Professional degree,Yes,Independent,25-34,672e6275c74eb1f2430f10e6,APPROVED,Not Applicable,2024-11-08T19:11:55Z,2024-11-08T19:13:38Z,2024-11-08T23:37:32Z,2024-11-08T19:14:52Z,103,COHS0MZY,35,"English, French",Independent,30,Female,Mixed,United States,United States,United States,English,No,Full-Time,post
4247,spr-event,29,Daily,NA,SC,Male,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,25-34,672e688b4cb2d01c2db36db9,APPROVED,Not Applicable,2024-11-08T19:37:55Z,2024-11-08T19:39:28Z,2024-11-08T23:31:36Z,2024-11-08T19:40:40Z,93,COHS0MZY,2453,English,Independent,29,Male,Asian,United States,United States,United States,English,No,Full-Time,post
3500,cloze-event,46,Daily,NA,TX,Female,Donald Trump,Yes,Yes,Some college,Yes,Republican,45-54,672e591fcdeaf5a51422f69c,APPROVED,Not Applicable,2024-11-08T18:32:27Z,2024-11-08T18:35:22Z,2024-11-08T23:36:10Z,2024-11-08T18:35:51Z,176,COHS0MZY,1240,English,Republican,46,Female,White,Germany,United States,United States,English,No,Part-Time,post
4868,spr-event,61,Weekly,NA,TX,Male,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,55-64,672f7ea717f7eea975126cb4,APPROVED,Not Applicable,2024-11-09T15:24:32Z,2024-11-09T15:27:30Z,2024-11-09T15:44:06Z,2024-11-09T15:28:51Z,178,COHS0MZY,1750,English,Republican,61,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",post
4237,event-maze,19,Daily,NA,TX,Female,Kamala Harris,Yes,Yes,High school graduate,Yes,Democrat,18-24,672e6862b959aaa3c5bf893c,APPROVED,Not Applicable,2024-11-08T19:37:13Z,2024-11-08T19:39:39Z,2024-11-08T23:34:10Z,2024-11-08T19:40:47Z,147,COHS0MZY,89,English,Democrat,19,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",post
3280,maze-event,40,Daily,NA,OH,Female,Kamala Harris,Yes,Yes,Doctorate,Yes,Independent,35-44,672e4ba4caa5174e440e2931,APPROVED,Not Applicable,2024-11-08T17:34:35Z,2024-11-08T17:38:21Z,2024-11-08T23:39:58Z,2024-11-08T17:40:36Z,227,COHS0MZY,425,English,Independent,40,Female,Black,United States,United States,United States,English,Yes,Full-Time,post
4062,cloze-event,NA,Daily,NA,FL,NA,Donald Trump,Yes,Yes,High school graduate,Yes,Republican,NA,672e63f5e79aafbea9bb6d16,APPROVED,Not Applicable,2024-11-08T19:18:21Z,2024-11-08T19:19:36Z,2024-11-08T23:33:00Z,2024-11-08T19:19:37Z,76,COHS0MZY,346,English,Republican,32,Female,White,United States,United States,United States,English,No,Part-Time,post
3323,event-cloze,35,Daily,NA,CA,Female,Donald Trump,Yes,Yes,Some college,Yes,Republican,35-44,672e524e0e6b5598f77b1e54,APPROVED,Not Applicable,2024-11-08T18:03:05Z,2024-11-08T18:06:01Z,2024-11-08T23:33:27Z,2024-11-08T18:06:09Z,177,COHS0MZY,112,English,Republican,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,post
4265,spr-event,31,Daily,NA,IN,Female,Kamala Harris,Yes,Yes,Some college,Yes,Independent,25-34,672e69155647df8ab142bc44,APPROVED,Not Applicable,2024-11-08T19:40:09Z,2024-11-08T19:42:02Z,2024-11-08T23:37:37Z,2024-11-08T19:42:03Z,113,COHS0MZY,52,English,Independent,31,Female,White,United States,United States,United States,English,No,Other,post
3721,event-spr,47,Daily,NA,PA,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,45-54,672e5d26e79aafbea9bb6b69,APPROVED,Not Applicable,2024-11-08T18:49:31Z,2024-11-08T18:51:18Z,2024-11-08T23:35:05Z,2024-11-08T18:51:26Z,107,COHS0MZY,305,English,Democrat,47,Female,White,United States,United States,United States,English,No,Full-Time,post
