workerid,condition,response,candidate,probability
2436,event-spr,12,other,0.09448818897637795
1894,spr-event,62,harris,0.6019417475728155
1894,spr-event,41,trump,0.39805825242718446
1894,spr-event,0,other,0
2778,maze-event,51,trump,0.49514563106796117
2778,maze-event,50,harris,0.4854368932038835
2778,maze-event,2,other,0.019417475728155338
1604,event-cloze,46,trump,0.46
1604,event-cloze,54,harris,0.54
1604,event-cloze,0,other,0
2386,spr-event,35,harris,0.32710280373831774
2386,spr-event,64,trump,0.5981308411214953
2386,spr-event,8,other,0.07476635514018691
1654,spr-event,74,harris,0.7551020408163265
1654,spr-event,24,trump,0.24489795918367346
1654,spr-event,0,other,0
2380,event-cloze,74,harris,0.7551020408163265
2380,event-cloze,24,trump,0.24489795918367346
2380,event-cloze,0,other,0
2298,event-spr,100,harris,1
2298,event-spr,0,trump,0
2298,event-spr,0,other,0
1622,event-cloze,63,trump,0.5887850467289719
1622,event-cloze,40,harris,0.37383177570093457
1622,event-cloze,4,other,0.037383177570093455
1522,event-cloze,75,harris,0.7731958762886598
1522,event-cloze,22,trump,0.2268041237113402
1522,event-cloze,0,other,0
1466,event-maze,72,harris,0.5
1466,event-maze,50,trump,0.3472222222222222
1466,event-maze,22,other,0.1527777777777778
2850,spr-event,45,harris,0.4166666666666667
2850,spr-event,63,trump,0.5833333333333334
2850,spr-event,0,other,0
1591,maze-event,50,trump,0.5
1591,maze-event,50,harris,0.5
1591,maze-event,0,other,0
2980,event-maze,91,trump,0.8504672897196262
2980,event-maze,11,harris,0.102803738317757
2980,event-maze,5,other,0.04672897196261682
2316,cloze-event,50,harris,0.5
2316,cloze-event,50,trump,0.5
2316,cloze-event,0,other,0
2186,event-cloze,68,harris,0.53125
2186,event-cloze,60,trump,0.46875
2186,event-cloze,0,other,0
2653,cloze-event,52,harris,0.5306122448979592
2653,cloze-event,46,trump,0.46938775510204084
2653,cloze-event,0,other,0
2937,event-maze,61,harris,0.5980392156862745
2937,event-maze,41,trump,0.4019607843137255
2937,event-maze,0,other,0
1772,spr-event,53,harris,0.5463917525773195
1772,spr-event,44,trump,0.4536082474226804
1772,spr-event,0,other,0
2291,event-cloze,52,harris,0.5252525252525253
2291,event-cloze,47,trump,0.47474747474747475
2291,event-cloze,0,other,0
2060,spr-event,92,harris,0.9484536082474226
2060,spr-event,5,trump,0.05154639175257732
2060,spr-event,0,other,0
2263,spr-event,50,harris,0.49504950495049505
2263,spr-event,51,trump,0.504950495049505
2263,spr-event,0,other,0
1590,cloze-event,58,harris,0.5742574257425742
1590,cloze-event,43,trump,0.42574257425742573
1590,cloze-event,0,other,0
1759,maze-event,49,harris,0.5
1759,maze-event,49,trump,0.5
1759,maze-event,0,other,0
2787,cloze-event,59,trump,0.5841584158415841
2787,cloze-event,42,harris,0.4158415841584158
2787,cloze-event,0,other,0
1634,spr-event,100,harris,0.9615384615384616
1634,spr-event,2,trump,0.019230769230769232
1634,spr-event,2,other,0.019230769230769232
1687,cloze-event,75,trump,0.7575757575757576
1687,cloze-event,24,harris,0.24242424242424243
1687,cloze-event,0,other,0
1961,maze-event,59,harris,0.43703703703703706
1961,maze-event,76,trump,0.562962962962963
1961,maze-event,0,other,0
1662,event-cloze,45,harris,0.45918367346938777
